contest_id,index,cache_relpath,cache_exists,stored_byte_size,stored_byte_sha256,parse_status,parse_error
44,G,44_G.html,1,65489,ca7cf698a105cf080737633c27edddd9e4ddbdb813edc375f60b3276c21ca738,parsed,
44,H,44_H.html,1,64259,661cb796851fe1e230d403ed75c10533d2ab890e61394084b84e40eeffa7350e,parsed,
44,I,44_I.html,1,64131,29869c82192906f606361dc5ab24a5866d00d46fad4e4c14a991af9864e0cdfa,parsed,
44,J,44_J.html,1,65546,17e0f61c0372fc8ec9017b048e1af1c2f999eeda3eeb91fb42c585ea9413c298,parsed,
41,A,41_A.html,1,62172,6d47b72baea14588ff288e40941fd46cb19b45eaf3af38f21c1efde1338aa45e,parsed,
41,B,41_B.html,1,62647,72f79739b708f165f39501c66dc838e4797e9b38d8569554e1e592192c89aa7e,parsed,
41,C,41_C.html,1,64084,e218b1e0059f5bf910b1982308fecdfc343f9e1f348e9b2efad5f743ce734869,parsed,
41,D,41_D.html,1,63906,4d437bad777951857e00cfcb360fe2d1b621f979ff7795440643787cd8bd4aab,parsed,
41,E,41_E.html,1,62988,73a865aa8539b6722f6a8e40c53c8d86718d06c87ef87c2f64977fa1ea3b3883,parsed,
45,A,45_A.html,1,62845,fffa2fe4ab341401b7d73efae9ec8e80d728362ed92b4861f04031ff73768205,parsed,
45,B,45_B.html,1,66038,f8eb7c442d7ad98c1072253e1831adde5f91515dac24e1f8d71aa9264ec430ef,parsed,
45,C,45_C.html,1,62621,b0acd765e9b510d81b46bd47c12126a71de3c9fceffca1eebabc73fd44f76e72,parsed,
45,D,45_D.html,1,62682,e7a7c52841dd1664fba27e0d2d622311939c55255b39294b3e5f3dc5866634e7,parsed,
